City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Guatrache,AR,2023-07-28 21:30:25,-37.6678,-63.5302,49.68,59,100,11.1
67,Tirumakudal Narsipur,IN,2023-07-28 21:29:37,12.21,76.9064,70.18,86,88,10.02
68,Mahibadhoo,MV,2023-07-28 21:30:26,3.7833,72.9667,81.57,77,90,6.78
69,Colonia,DE,2023-07-28 21:29:08,50.9333,6.95,68.58,82,75,8.05
70,Yung Shue Wan,HK,2023-07-28 21:30:26,22.2333,114.1167,88.57,88,31,13.91
71,Kallakkurichchi,IN,2023-07-28 21:30:26,11.7333,78.9667,82.92,60,98,5.17
72,Puryong,KP,2023-07-28 21:30:26,42.0606,129.7117,78.1,79,79,3.06
73,Petropavlovsk-Kamchatsky,RU,2023-07-28 21:30:27,53.0452,158.6483,57.79,94,75,6.71
74,Severo-Yeniseyskiy,RU,2023-07-28 21:30:27,60.3725,93.0408,57.97,86,87,1.54
75,Ormara,PK,2023-07-28 21:30:27,25.2088,64.6357,82.22,84,100,15.05
76,Labrador City,CA,2023-07-28 21:30:27,52.9463,-66.9114,60.71,63,75,3.44
77,Taro,ID,2023-07-28 21:30:28,-8.3862,115.28,69.85,95,97,1.95
78,Kayangel,PW,2023-07-28 21:30:28,8.0823,134.7173,82.63,76,100,23.87
79,Port Lincoln,AU,2023-07-28 21:30:28,-34.7333,135.8667,53.92,85,0,13.73
80,Vilyuchinsk,RU,2023-07-28 21:30:28,52.9306,158.4028,59.27,81,72,2.01
81,East London,ZA,2023-07-28 21:30:28,-33.0153,27.9116,72.97,38,77,8.55
82,Laojunmiao,CN,2023-07-28 21:30:28,39.8333,97.7333,70.36,33,10,6.31
83,Tolanaro,MG,2023-07-28 21:30:29,-25.0319,46.9987,69.87,68,20,18.41
84,Luwingu,ZM,2023-07-28 21:30:29,-10.2621,29.9271,57.0,49,0,1.45
85,Wenchang,CN,2023-07-28 21:30:29,30.904,118.4887,77.31,92,100,12.97
86,Rong'An,CN,2023-07-28 21:30:30,26.1247,119.1214,77.34,99,100,0.25
87,Lebu,CL,2023-07-28 21:30:30,-37.6167,-73.65,54.18,87,100,3.58
88,Klyuchi,RU,2023-07-28 21:30:30,52.2667,79.1667,63.34,74,95,5.28
89,Mejit,MH,2023-07-28 21:30:30,10.2753,170.8646,82.94,80,100,20.87
90,Puerto Escondido,MX,2023-07-28 21:30:30,15.85,-97.0667,90.43,62,20,5.75
91,La'Ie,US,2023-07-28 21:30:30,21.6477,-157.9253,89.56,62,33,18.03
92,Yuzhno-Kurilsk,RU,2023-07-28 21:30:31,44.0306,145.8556,66.9,88,100,4.74
93,San Francisco Ixhuatan,MX,2023-07-28 21:30:31,16.3569,-94.4825,95.34,47,34,9.93
94,Grand Falls-Windsor,CA,2023-07-28 21:31:31,48.9332,-55.6649,74.5,48,14,1.01
95,Port Alfred,ZA,2023-07-28 21:31:31,-33.5906,26.891,61.18,82,79,5.99
96,Pico Truncado,AR,2023-07-28 21:31:32,-46.7949,-67.9573,51.26,66,100,23.89
97,Tazovsky,RU,2023-07-28 21:22:45,67.4667,78.7,57.81,92,79,3.85
98,Santiago De Cao,PE,2023-07-28 21:31:32,-7.9589,-79.2392,73.53,78,76,12.66
99,Bilibino,RU,2023-07-28 21:31:32,68.0546,166.4372,50.38,82,100,4.47
100,Malango,ID,2023-07-28 21:31:32,-2.9627,119.9001,62.94,96,100,1.92
101,Kavieng,PG,2023-07-28 21:31:32,-2.5744,150.7967,82.24,77,16,7.54
102,Woolgoolga,AU,2023-07-28 21:31:33,-30.1106,153.2007,44.47,58,5,3.53
103,Olonkinbyen,SJ,2023-07-28 21:31:33,70.9221,-8.7187,42.76,83,99,7.11
104,As Sulayyil,SA,2023-07-28 21:31:33,20.4607,45.5779,95.25,13,93,6.26
105,Pangody,RU,2023-07-28 21:31:34,65.85,74.4859,65.52,78,67,0.2
106,Paramonga,PE,2023-07-28 21:31:34,-10.6667,-77.8333,70.16,76,55,11.77
107,Gidam,IN,2023-07-28 21:31:35,18.9833,81.4,75.74,97,100,5.66
108,Uzhur,RU,2023-07-28 21:31:35,55.3036,89.8339,60.26,91,100,4.16
109,Thompson,CA,2023-07-28 21:31:35,55.7435,-97.8558,68.16,56,75,18.41
110,Mangere,NZ,2023-07-28 21:31:36,-36.9681,174.7988,53.92,76,75,0.0
111,Yamada,JP,2023-07-28 21:22:38,39.4667,141.95,76.12,79,1,2.98
112,Ola,RU,2023-07-28 21:31:36,59.5833,151.2833,57.6,62,90,2.35
113,Darovskoy,RU,2023-07-28 21:31:36,58.77,47.9564,63.18,94,73,5.48
114,Arkhangel'Sk,RU,2023-07-28 21:31:36,64.5401,40.5433,60.85,89,100,11.39
115,Huarmey,PE,2023-07-28 21:31:37,-10.0681,-78.1522,72.73,73,55,10.8
116,Ilha De Mocambique,MZ,2023-07-28 21:31:37,-15.0342,40.7358,75.6,70,3,9.06
117,Dehdasht,IR,2023-07-28 21:31:37,30.7949,50.5646,83.52,16,0,2.84
118,Igarka,RU,2023-07-28 21:31:37,67.4667,86.5833,60.94,99,47,10.45
119,Susuman,RU,2023-07-28 21:31:37,62.7833,148.1667,54.68,54,9,1.19
120,Praia Da Vitoria,PT,2023-07-28 21:31:38,38.7333,-27.0667,75.45,88,75,14.79
121,Izazi,TZ,2023-07-28 21:31:38,-7.2,35.7333,67.44,64,0,3.94
122,Nar'Yan-Mar,RU,2023-07-28 21:31:38,67.6713,53.087,51.31,92,19,3.69
123,Tazacorte,ES,2023-07-28 21:31:38,28.629,-17.9293,74.37,83,0,18.41
124,Happy Valley-Goose Bay,CA,2023-07-28 21:22:40,53.3168,-60.3315,70.11,43,75,13.8
125,Glace Bay,CA,2023-07-28 21:31:39,46.1969,-59.957,79.25,57,20,9.22
126,Loukhi,RU,2023-07-28 21:31:39,66.0764,33.0381,57.15,76,100,9.64
127,Hithadhoo,MV,2023-07-28 21:21:18,-0.6,73.0833,81.64,75,100,7.83
